series_code,size,dim_letter,value
RKH1,3,a,420
RKH1,3,A1,60
RKH1,3,A2,145
RKH1,3,A3,80
RKH1,3,b,170
RKH1,3,B1,205
RKH1,3,B2,130
RKH1,3,B3,-
RKH1,3,c,125
RKH1,3,d6,130
RKH1,3,E,7
RKH1,3,s,19
RKH1,3,h,7
RKH1,3,h5,35
RKH1,3,H,425
RKH1,3,m1,5.2
RKH1,3,m2,-
RKH1,3,m3,160
RKH1,3,n1,55
RKH1,3,n2,128
RKH1,3,G2,170
RKH1,3,l2,125
RKH1,3,d2,60
RKH1,5,a,580
RKH1,5,A1,85
RKH1,5,A2,215
RKH1,5,A3,115
RKH1,5,b,210
RKH1,5,B1,255
RKH1,5,B2,185
RKH1,5,B3,-
RKH1,5,c,160
RKH1,5,d6,190
RKH1,5,E,22
RKH1,5,s,24
RKH1,5,h,22
RKH1,5,h5,50
RKH1,5,H,575
RKH1,5,m1,19
RKH1,5,m2,-
RKH1,5,m3,240
RKH1,5,n1,70
RKH1,5,n2,308
RKH1,5,G2,210
RKH1,5,l2,160
RKH1,5,d2,85
RKH1,7,a,690
RKH1,7,A1,255
RKH1,7,A2,250
RKH1,7,A3,120
RKH1,7,b,375
RKH1,7,B1,300
RKH1,7,B2,230
RKH1,7,B3,-
RKH1,7,c,45
RKH1,7,d6,245
RKH1,7,E,350
RKH1,7,s,28
RKH1,7,h,350
RKH1,7,h5,25
RKH1,7,H,670
RKH1,7,m1,540
RKH1,7,m2,-
RKH1,7,m3,315
RKH1,7,n1,75
RKH1,7,n2,195
RKH1,7,G2,250
RKH1,7,l2,200
RKH1,7,d2,105
RKH1,9,a,805
RKH1,9,A1,300
RKH1,9,A2,265
RKH1,9,A3,140
RKH1,9,b,425
RKH1,9,B1,330
RKH1,9,B2,265
RKH1,9,B3,-
RKH1,9,c,50
RKH1,9,d6,280
RKH1,9,E,420
RKH1,9,s,35
RKH1,9,h,420
RKH1,9,h5,-
RKH1,9,H,770
RKH1,9,m1,625
RKH1,9,m2,-
RKH1,9,m3,350
RKH1,9,n1,90
RKH1,9,n2,225
RKH1,9,G2,270
RKH1,9,l2,210
RKH1,9,d2,125
RKH1,11,a,960
RKH1,11,A1,360
RKH1,11,A2,330
RKH1,11,A3,190
RKH1,11,b,515
RKH1,11,B1,375
RKH1,11,B2,320
RKH1,11,B3,-
RKH1,11,c,60
RKH1,11,d6,350
RKH1,11,E,500
RKH1,11,s,35
RKH1,11,h,500
RKH1,11,h5,-
RKH1,11,H,940
RKH1,11,m1,770
RKH1,11,m2,-
RKH1,11,m3,440
RKH1,11,n1,95
RKH1,11,n2,280
RKH1,11,G2,320
RKH1,11,l2,240
RKH1,11,d2,150
RKH1,13,a,1100
RKH1,13,A1,415
RKH1,13,A2,350
RKH1,13,A3,-
RKH1,13,b,580
RKH1,13,B1,430
RKH1,13,B2,-
RKH1,13,B3,150
RKH1,13,c,70
RKH1,13,d6,350
RKH1,13,E,580
RKH1,13,s,42
RKH1,13,h,580
RKH1,13,h5,-
RKH1,13,H,1065
RKH1,13,m1,870
RKH1,13,m2,-
RKH1,13,m3,490
RKH1,13,n1,115
RKH1,13,n2,315
RKH1,13,G2,360
RKH1,13,l2,310
RKH1,13,d2,180
RKH1,15,a,1295
RKH1,15,A1,500
RKH1,15,A2,430
RKH1,15,A3,-
RKH1,15,b,545
RKH1,15,B1,430
RKH1,15,B2,-
RKH1,15,B3,120
RKH1,15,c,80
RKH1,15,d6,450
RKH1,15,E,600
RKH1,15,s,48
RKH1,15,h,600
RKH1,15,h5,-
RKH1,15,H,1125
RKH1,15,m1,1025
RKH1,15,m2,-
RKH1,15,m3,450
RKH1,15,n1,135
RKH1,15,n2,370
RKH1,15,G2,360
RKH1,15,l2,350
RKH1,15,d2,220
RKH1,17,a,1410
RKH1,17,A1,550
RKH1,17,A2,430
RKH1,17,A3,-
RKH1,17,b,615
RKH1,17,B1,470
RKH1,17,B2,-
RKH1,17,B3,150
RKH1,17,c,80
RKH1,17,d6,445
RKH1,17,E,670
RKH1,17,s,42
RKH1,17,h,670
RKH1,17,h5,-
RKH1,17,H,1255
RKH1,17,m1,1170
RKH1,17,m2,130
RKH1,17,m3,530
RKH1,17,n1,120
RKH1,17,n2,425
RKH1,17,G2,400
RKH1,17,l2,400
RKH1,17,d2,240
RKH2,3,a,220
RKH2,3,b,290
RKH2,3,c,65
RKH2,3,A1,58
RKH2,3,A2,175
RKH2,3,A3,50
RKH2,3,A4,400
RKH2,3,B1,160
RKH2,3,B2,85
RKH2,3,d6,15
RKH2,3,D5,132.5
RKH2,3,c1,285
RKH2,3,h,140
RKH2,3,h5,-
RKH2,3,H,-
RKH2,3,m1,-
RKH2,3,m3,-
RKH2,3,n1,-
RKH2,3,n2,-
RKH2,3,s,120
RKH2,3,n4,5
RKH2,3,n3,7
RKH2,3,d2,65
RKH2,3,G2,125
RKH2,3,l2,140
RKH2,3,D2,-
RKH2,3,D3,-
RKH2,3,D4,-
RKH2,3,G4,-
RKH2,3,G5,-
RKH2,4,a,270
RKH2,4,b,355
RKH2,4,c,85
RKH2,4,A1,62.5
RKH2,4,A2,200
RKH2,4,A3,60
RKH2,4,A4,450
RKH2,4,B1,180
RKH2,4,B2,110
RKH2,4,d6,19
RKH2,4,D5,150
RKH2,4,c1,345
RKH2,4,h,170
RKH2,4,h5,80 H7
RKH2,4,H,140
RKH2,4,m1,85 H7
RKH2,4,m3,85
RKH2,4,n1,140
RKH2,4,n2,205
RKH2,4,s,190
RKH2,4,n4,7
RKH2,4,n3,10
RKH2,4,d2,80
RKH2,4,G2,140
RKH2,4,l2,170
RKH2,4,D2,80 H7
RKH2,4,D3,85 H7
RKH2,4,D4,85
RKH2,4,G4,140
RKH2,4,G5,205
RKH2,5,a,315
RKH2,5,b,430
RKH2,5,c,100
RKH2,5,A1,97.5
RKH2,5,A2,230
RKH2,5,A3,100
RKH2,5,A4,532
RKH2,5,B1,220
RKH2,5,B2,105
RKH2,5,d6,19
RKH2,5,D5,180
RKH2,5,c1,405
RKH2,5,h,210
RKH2,5,h5,95 H7
RKH2,5,H,165
RKH2,5,m1,100 H7
RKH2,5,m3,100
RKH2,5,n1,165
RKH2,5,n2,240
RKH2,5,s,306
RKH2,5,n4,11
RKH2,5,n3,15
RKH2,5,d2,100
RKH2,5,G2,165
RKH2,5,l2,210
RKH2,5,D2,95 H7
RKH2,5,D3,100 H7
RKH2,5,D4,100
RKH2,5,G4,165
RKH2,5,G5,240
RKH2,6,a,350
RKH2,6,b,510
RKH2,6,c,145
RKH2,6,A1,97.5
RKH2,6,A2,230
RKH2,6,A3,100
RKH2,6,A4,532
RKH2,6,B1,220
RKH2,6,B2,105
RKH2,6,d6,19
RKH2,6,D5,180
RKH2,6,c1,440
RKH2,6,h,210
RKH2,6,h5,105 H7
RKH2,6,H,165
RKH2,6,m1,110 H7
RKH2,6,m3,110
RKH2,6,n1,165
RKH2,6,n2,240
RKH2,6,s,362
RKH2,6,n4,12
RKH2,6,n3,16
RKH2,6,d2,110
