family,stage,series_code,size,ratio_nominal,ratio_actual,t2n_nm
RKH,1,RKH1,3,1.25,1.243,2900
RKH,1,RKH1,4,1.25,1.256,7700
RKH,1,RKH1,5,1.25,1.263,15000
RKH,1,RKH1,6,1.25,1.27,24500
RKH,1,RKH1,3,1.4,1.371,3100
RKH,1,RKH1,4,1.4,1.378,8100
RKH,1,RKH1,5,1.4,1.389,15700
RKH,1,RKH1,6,1.4,1.4,25300
RKH,1,RKH1,3,1.6,1.594,3300
RKH,1,RKH1,4,1.6,1.588,8500
RKH,1,RKH1,5,1.6,1.606,16100
RKH,1,RKH1,6,1.6,1.625,26800
RKH,2,RKH2,7,1.6,1.636,45500
RKH,2,RKH2,8,1.6,1.588,66700
RKH,1,RKH1,3,1.8,1.829,2700
RKH,1,RKH1,4,1.8,1.839,8700
RKH,1,RKH1,5,1.8,1.774,17200
RKH,1,RKH1,6,1.8,1.8,27700
RKH,2,RKH2,7,1.8,1.806,47100
RKH,2,RKH2,8,1.8,1.839,70200
RKH,1,RKH1,3,2.0,2.0,2800
RKH,1,RKH1,4,2.0,2.034,9300
RKH,1,RKH1,5,2.0,1.966,17600
RKH,1,RKH1,6,2.0,2.0,28400
RKH,2,RKH2,7,2.0,2.0,48600
RKH,2,RKH2,8,2.0,2.034,72200
RKH,2,RKH2,9,2.0,2.0,128000
RKH,1,RKH1,3,2.24,2.194,2800
RKH,1,RKH1,4,2.24,2.259,9500
RKH,1,RKH1,5,2.24,2.308,17600
RKH,1,RKH1,6,2.24,2.231,28400
RKH,2,RKH2,7,2.24,2.222,50100
RKH,2,RKH2,8,2.24,2.259,74500
RKH,2,RKH2,9,2.24,2.231,129000
RKH,1,RKH1,3,2.5,2.536,2900
RKH,1,RKH1,4,2.5,2.52,9500
RKH,1,RKH1,5,2.5,2.583,17600
RKH,1,RKH1,6,2.5,2.5,28400
RKH,2,RKH2,7,2.5,2.48,50100
RKH,2,RKH2,8,2.5,2.52,76200
RKH,2,RKH2,9,2.5,2.481,116000
RKH,1,RKH1,3,2.8,2.808,3100
RKH,1,RKH1,4,2.8,2.826,9500
RKH,1,RKH1,5,2.8,2.8,16900
RKH,1,RKH1,6,2.8,2.741,26900
RKH,2,RKH2,7,2.8,2.783,50100
RKH,2,RKH2,8,2.8,2.826,76200
RKH,2,RKH2,9,2.8,2.76,119000
RKH,2,RKH2,10,2.8,2.76,169000
RKH,1,RKH1,3,3.15,3.125,3100
RKH,1,RKH1,4,3.15,3.19,9500
RKH,1,RKH1,5,3.15,3.13,17200
RKH,1,RKH1,6,3.15,3.208,27800
RKH,2,RKH2,7,3.15,3.08,47600
RKH,2,RKH2,8,3.15,3.208,72400
RKH,2,RKH2,9,3.15,3.087,123000
RKH,2,RKH2,10,3.15,3.087,171000
RKH,1,RKH1,3,3.55,3.5,3200
RKH,1,RKH1,4,3.55,3.591,9400
RKH,1,RKH1,5,3.55,3.524,17600
RKH,1,RKH1,6,3.55,3.591,28300
RKH,2,RKH2,7,3.55,3.478,49700
RKH,2,RKH2,8,3.55,3.591,73700
RKH,2,RKH2,9,3.55,3.476,125000
RKH,2,RKH2,10,3.55,3.476,171000
RKH,1,RKH1,3,4.0,3.95,3200
RKH,1,RKH1,4,4.0,4.05,9500
RKH,1,RKH1,5,4.0,4.0,17600
RKH,1,RKH1,6,4.0,4.05,28400
RKH,2,RKH2,7,4.0,3.905,50100
RKH,2,RKH2,8,4.0,4.05,74900
RKH,2,RKH2,9,4.0,3.947,129000
RKH,2,RKH2,10,4.0,3.947,171000
RKH,1,RKH1,3,4.5,4.473,2500
RKH,1,RKH1,4,4.5,4.487,6200
RKH,1,RKH1,5,4.5,4.619,7600
RKH,1,RKH1,6,4.5,4.4,15600
RKH,2,RKH2,7,4.5,4.381,24400
RKH,2,RKH2,8,4.5,4.421,45500
RKH,2,RKH2,9,4.5,4.619,61000
RKH,2,RKH2,10,4.5,4.579,108000
RKH,2,RKH2,11,4.5,4.526,145000
