family,size,ratio_nominal,p_gn_kw,p_gf_kw,p_gc_kw,p_gfc_kw
RKB,4,5.0,35.3,138,158,247
RKB,4,5.6,38.6,134,153,239
RKB,4,6.3,40,131,146,229
RKB,4,7.1,40.6,124,133,211
RKB,4,8.0,39.9,116,123,197
RKB,4,9.0,39.3,110,114,182
RKB,4,10.0,33.7,92,91,146
RKB,4,11.2,33,89,87,139
RKB,4,12.5,39.4,84,94,130
RKB,4,14.0,38.6,82,91,126
RKB,4,16.0,36.8,78,87,120
RKB,4,18.0,35.9,76,84,116
RKB,4,20.0,34,72,80,110
RKB,4,22.4,33.3,70,77,107
RKB,4,25.0,31.9,66,73,101
RKB,4,28.0,30.9,63,69,96
RKB,4,31.5,29.4,60,65,90
RKB,4,35.5,27.8,56,59,83
RKB,4,40.0,24.3,49,50,70
RKB,4,45.0,23.8,48,49,68
RKB,4,50.0,24.2,48,49,68
RKB,4,56.0,22.4,44,44,62
RKB,4,63.0,21.6,43,41,58
RKB,4,71.0,20,40,38,53
RKB,5,5.0,,183,236,363
RKB,5,5.6,,184,229,356
RKB,5,6.3,,177,213,333
RKB,5,7.1,44,168,198,310
RKB,5,8.0,45.1,159,181,288
RKB,5,9.0,45.7,152,167,265
RKB,5,10.0,44,139,149,238
RKB,5,11.2,40.4,124,130,208
RKB,5,12.5,50.4,117,150,207
RKB,5,14.0,49.6,113,145,200
RKB,5,16.0,48.3,109,140,194
RKB,5,18.0,47.2,106,135,188
RKB,5,20.0,45.6,102,130,180
RKB,5,22.4,45.1,100,129,179
RKB,5,25.0,43.3,96,121,167
RKB,5,28.0,42.5,93,115,158
RKB,5,31.5,40.7,88,107,148
RKB,5,35.5,38.6,83,99,137
RKB,5,40.0,33.7,71,82,114
RKB,5,45.0,32.9,69,79,110
RKB,5,50.0,33,69,77,107
RKB,5,56.0,30.7,64,70,98
RKB,5,63.0,29.5,61,66,93
RKB,5,71.0,28.2,58,61,86
RKB,5,80.0,31.9,65,68,96
RKB,5,90.0,30.5,62,63,90
RKB,6,5.0,,281,365,576
RKB,6,5.6,,272,337,538
RKB,6,6.3,,204,303,452
RKB,6,7.1,50.6,202,296,443
RKB,6,8.0,53.4,194,274,413
RKB,6,9.0,54.4,185,251,383
RKB,6,10.0,53.3,173,231,353
RKB,6,11.2,52.1,164,211,324
RKB,6,12.5,50.1,150,188,290
RKB,6,14.0,46,134,165,253
RKB,6,16.0,55.4,125,156,214
RKB,6,18.0,54.1,121,149,206
RKB,6,20.0,52.6,117,144,199
RKB,6,22.4,51.4,114,141,194
RKB,6,25.0,50.1,109,134,185
RKB,6,28.0,50,108,133,184
RKB,6,31.5,47.8,102,125,174
RKB,6,35.5,46.4,99,118,165
RKB,6,40.0,44.3,94,110,154
RKB,6,45.0,41.8,88,101,141
RKB,6,50.0,36.8,76,85,118
RKB,6,56.0,36.2,75,82,114
RKB,6,63.0,36,74,80,111
RKB,6,71.0,33.3,68,73,101
RKB,7,5.0,,325,455,698
RKB,7,5.6,,319,420,656
RKB,7,6.3,,257,305,493
RKB,7,7.1,,246,282,458
RKB,7,8.0,53,234,261,426
RKB,7,9.0,55.8,224,244,403
RKB,7,10.0,55.1,209,222,369
RKB,7,11.2,51,187,194,323
RKB,7,12.5,76.7,185,263,359
RKB,7,14.0,75.7,179,255,345
RKB,7,16.0,72.9,171,242,331
RKB,7,18.0,71.1,166,233,319
RKB,7,20.0,68.8,160,223,304
RKB,7,22.4,67.2,154,216,294
RKB,7,25.0,66.2,150,206,282
RKB,7,28.0,64.1,142,192,262
RKB,7,31.5,61.7,135,179,246
RKB,7,35.5,59.1,128,166,227
RKB,7,40.0,52,111,137,190
RKB,7,45.0,50.8,107,132,182
RKB,7,50.0,50.7,105,128,176
RKB,7,56.0,47.5,99,116,161
RKB,7,63.0,46.1,96,110,153
RKB,7,71.0,43.9,91,102,142
RKB,7,80.0,49.7,101,114,159
RKB,7,90.0,47.4,97,106,148
RKB,8,5.0,,474,767,1133
RKB,8,5.6,,499,731,1115
RKB,8,6.3,,305,445,684
RKB,8,7.1,,296,410,636
RKB,8,8.0,,278,372,581
RKB,8,9.0,61.6,264,343,538
RKB,8,10.0,62.3,249,315,500
RKB,8,11.2,61.9,238,296,470
RKB,8,12.5,61.7,222,270,431
RKB,8,14.0,57.4,198,236,377
RKB,8,16.0,83.3,195,270,366
RKB,8,18.0,81.1,190,263,356
RKB,8,20.0,78,181,247,337
RKB,8,22.4,76.7,176,240,327
RKB,8,25.0,75.2,169,230,314
RKB,8,28.0,74.4,164,223,303
RKB,8,31.5,72.7,159,213,290
RKB,8,35.5,69.8,151,198,270
RKB,8,40.0,67.1,143,186,252
RKB,8,45.0,64,136,171,234
RKB,8,50.0,56.9,118,143,196
RKB,8,56.0,55.7,115,137,189
RKB,8,63.0,55.2,113,133,184
RKB,8,71.0,51.4,105,121,167
RKB,9,5.0,,569,1509,1999
RKB,9,5.6,,640,1456,2024
RKB,9,6.3,,307,382,606
RKB,9,7.1,,297,351,565
RKB,9,8.0,,285,325,528
RKB,9,9.0,59.6,275,307,502
RKB,9,10.0,60.8,259,282,461
RKB,9,11.2,57.7,230,242,402
RKB,9,12.5,95.4,248,387,524
RKB,9,14.0,95.2,242,377,509
RKB,9,16.0,94.3,237,366,495
RKB,9,18.0,92.5,230,354,481
RKB,9,20.0,89.8,221,339,462
RKB,9,22.4,88.6,216,329,448
RKB,9,25.0,86.9,207,307,418
RKB,9,28.0,85,198,286,392
RKB,9,31.5,82.7,189,269,367
RKB,9,35.5,79.6,180,246,337
RKB,9,40.0,75,167,222,307
RKB,9,45.0,69.4,153,200,277
RKB,9,50.0,69.3,150,193,267
RKB,9,56.0,64.8,139,173,239
RKB,9,63.0,62.8,134,163,227
RKB,9,71.0,59,125,147,207
RKB,9,80.0,63.8,135,166,229
RKB,9,90.0,60,126,150,208
RKB,10,5.0,,482,2020,2363
RKB,10,5.6,,612,1973,2465
RKB,10,6.3,,342,526,792
RKB,10,7.1,,333,484,743
RKB,10,8.0,,318,440,680
RKB,10,9.0,,303,405,631
RKB,10,10.0,63.9,289,374,586
RKB,10,11.2,65.2,277,353,556
RKB,10,12.5,66.9,262,323,510
RKB,10,14.0,63.1,234,281,445
RKB,10,16.0,103,260,411,553
RKB,10,18.0,96.3,241,380,509
RKB,10,20.0,100,249,389,524
RKB,10,22.4,93.9,229,357,481
RKB,10,25.0,92.8,221,344,462
RKB,10,28.0,93.1,218,333,451
RKB,10,31.5,90.7,208,309,420
RKB,10,35.5,87.7,198,290,393
RKB,10,40.0,84.4,190,272,369
RKB,10,45.0,80.8,179,249,339
RKB,10,50.0,77,168,226,309
RKB,10,56.0,72,154,204,279
RKB,10,63.0,71,150,196,267
RKB,10,71.0,65.9,139,176,241
RKB,11,6.3,,475,645,1000
RKB,11,7.1,,489,623,987
RKB,11,8.0,,459,552,888
RKB,11,9.0,,448,521,845
RKB,11,10.0,,425,479,784
RKB,11,11.2,,379,414,682
RKB,11,12.5,112,374,537,761
RKB,11,14.0,117,371,528,749
RKB,11,16.0,114,355,503,712
RKB,11,18.0,115,350,495,700
RKB,11,20.0,112,336,472,670
RKB,11,22.4,110,321,439,626
RKB,11,25.0,109,304,404,579
RKB,11,28.0,109,294,379,544
RKB,11,31.5,106,280,353,509
RKB,11,35.5,105,269,335,483
RKB,11,40.0,100,253,307,445
RKB,11,45.0,93.2,232,278,403
RKB,11,50.0,95.8,230,272,393
RKB,11,56.0,88.9,209,241,351
RKB,11,63.0,86.3,201,227,331
RKB,11,71.0,80.2,188,204,298
RKB,11,80.0,95.8,222,276,393
RKB,11,90.0,89.6,206,247,354
RKB,12,6.3,,576,1109,1581
RKB,12,7.1,,595,1062,1541
RKB,12,8.0,,559,933,1379
RKB,12,9.0,,563,906,1350
RKB,12,10.0,,520,802,1206
RKB,12,11.2,,501,757,1145
RKB,12,12.5,,477,694,1060
RKB,12,14.0,,424,599,922
RKB,12,16.0,125,403,656,698
RKB,12,18.0,129,407,659,904
RKB,12,20.0,124,382,610,840
RKB,12,22.4,128,385,611,842
RKB,12,25.0,130,372,585,809
RKB,12,28.0,131,360,549,760
RKB,12,31.5,129,341,503,702
RKB,12,35.5,125,325,471,655
RKB,12,40.0,121,307,436,610
RKB,12,45.0,118,296,413,580
RKB,12,50.0,115,279,381,534
RKB,12,56.0,108,258,342,484
RKB,12,63.0,108,253,332,467
RKB,12,71.0,99.9,230,295,417
RKB,13,6.3,,627,1283,1821
RKB,13,7.1,,670,1249,1830
RKB,13,8.0,,640,1115,1658
RKB,13,9.0,,634,1045,1583
RKB,13,10.0,,610,969,1476
RKB,13,11.2,,550,841,1293
RKB,13,12.5,,464,823,1115
RKB,13,14.0,127,478,835,1136
RKB,13,16.0,122,441,762,1037
RKB,13,18.0,128,450,770,1050
RKB,13,20.0,126,424,722,987
RKB,13,22.4,126,408,677,927
RKB,13,25.0,128,392,626,862
RKB,13,28.0,131,377,585,811
RKB,13,31.5,131,362,545,759
RKB,13,35.5,130,350,519,725
RKB,13,40.0,125,331,480,672
RKB,13,45.0,117,303,431,601
RKB,13,50.0,124,307,429,604
RKB,13,56.0,117,283,386,542
RKB,13,63.0,114,273,363,512
RKB,13,71.0,107,256,328,465
RKB,13,80.0,123,289,376,531
RKB,13,90.0,115,271,340,483
RKB,14,6.3,,746,1597,2245
RKB,14,7.1,,796,1537,2239
RKB,14,8.0,,762,1351,1996
RKB,14,9.0,,778,1316,1977
RKB,14,10.0,,727,1165,1770
RKB,14,11.2,,702,1090,1672
RKB,14,12.5,,675,1011,1559
RKB,14,14.0,,605,876,1364
RKB,14,16.0,138,506,860,1170
RKB,14,18.0,146,515,869,1184
RKB,14,20.0,140,476,792,1082
RKB,14,22.4,148,485,803,1096
RKB,14,25.0,150,462,755,1035
RKB,14,28.0,155,448,708,976
RKB,14,31.5,154,426,652,903
RKB,14,35.5,151,408,609,847
RKB,14,40.0,147,389,569,791
RKB,14,45.0,144,374,539,753
RKB,14,50.0,142,355,501,702
RKB,14,56.0,135,327,447,631
RKB,14,63.0,138,329,447,627
RKB,14,71.0,127,299,400,562
RKB,15,6.3,,658,1829,2370
RKB,15,7.1,,713,1705,2308
RKB,15,8.0,,706,1538,2131
RKB,15,9.0,,717,1460,2065
RKB,15,10.0,,692,1334,1914
RKB,15,11.2,,635,1175,1705
RKB,15,12.5,,596,1249,1636
RKB,15,14.0,,593,1205,1587
RKB,15,16.0,,592,1185,1568
